REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Department of Administration			Integrated Resource Information System (IRIS) Upgrade				1004 General Fund Receipts	AP				7100.0								
			Department of Administration			OIT Upgrade to Cloud Servers - Phase I				1004 General Fund Receipts	AP				1250.0								
			Department of Commerce, Community, and Economic Development			Set Free Alaska - Alaska Recidivism Reduction and Recovery Project				1004 General Fund Receipts	AP				1000.0								
			Department of Commerce, Community, and Economic Development			National Petroleum Reserve - Alaska Impact Grant Program 				Non-Permanent	AP				11300.0								
			Department of Commerce, Community, and Economic Development			Community Block Grants				1002 Federal Receipts	AP				6000.0								
			Department of Commerce, Community, and Economic Development			Community Block Grants				1003 General Fund Match	AP				60.0								
			Department of Commerce, Community, and Economic Development			Hope Community Resources, Inc. - Upgrades to Housing to Meet State & Federal Licensing Requirements				1004 General Fund Receipts	AP				78.0								
			Department of Commerce, Community, and Economic Development			Inter-Island Ferry Authority				1004 General Fund Receipts	AP				250.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects				1002 Federal Receipts	AP*				52250.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects				1003 General Fund Match	AP*				12080.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects				1108 Statutory Designated Program Receipts	AP*				500.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	1002 Federal Receipts	AL				20900.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	1003 General Fund Match	AL				4832.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	1108 Statutory Designated Program Receipts	AL				200.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	1002 Federal Receipts	AL				31350.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	1003 General Fund Match	AL				7248.0								
			Department of Environmental Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	1108 Statutory Designated Program Receipts	AL				300.0								
			Department of Health and Social Services			Emergency Medical Services Match for Code Blue Project				1003 General Fund Match	AP				500.0								
			Department of Labor and Workforce Development			Vocational Rehabilitation Business Enterprise Program Facility Development and Equipment Replacement				1004 General Fund Receipts	AP				447.4								
			Department of Labor and Workforce Development			Vocational Rehabilitation Business Enterprise Program Facility Development and Equipment Replacement				1237 VocSmBus	AP				185.0								
			Department of Military and Veterans Affairs			Alaska Land Mobile Radio and State of Alaska Telecommunications System				1004 General Fund Receipts	AP				520.5								
			Department of Military and Veterans Affairs			Alaska Land Mobile Radio and State of Alaska Telecommunications System				1197 AK Cap Inc	AP				4479.5								
			Department of Military and Veterans Affairs			Mass Notification System - Joint Base Elmendorf Richardson				1002 Federal Receipts	AP				800.0								
			Department of Military and Veterans Affairs			Mass Notification System - Joint Base Elmendorf Richardson				1003 General Fund Match	AP				800.0								
			Department of Military and Veterans Affairs			State Homeland Security Grant Programs				1002 Federal Receipts	AP				4500.0								
			Department of Natural Resources			Fire Risk Reduction and Fuel Breaks				1004 General Fund Receipts	AP				5000.0								
			Department of Natural Resources			Abandoned Mine Lands Reclamation Federal Program				1002 Federal Receipts	AP				3200.0								
			Department of Natural Resources			National Recreational Trails Federal Grant Program				1002 Federal Receipts	AP				1500.0								
			Department of Natural Resources			National Recreational Trails Federal Grant Program				1005 General Fund/Program Receipts	AP				100.0								
			Department of Revenue			AHFC Cold Climate Research Center				1139 AHFC Div	AP				500.0								
			Department of Revenue			AHFC Energy Programs Weatherization 				1002 Federal Receipts	AP				2000.0								
