REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Health & Social Svcs			Alaska Psychiatric Institute Projects to Comply with Corrective Action Plan				1197 AK Cap Inc	AP				1619.3								
			Health & Social Svcs			Anchorage Pioneer Home Renovation				1197 AK Cap Inc	AP				2080.0								
			Health & Social Svcs			Emergency Medical Services Match for Code Blue Project				1003 General Fund Match	AP				500.0								
			Health & Social Svcs			MH Assistive Technology				1037 GF/MH	AP				500.0								
			Health & Social Svcs			MH Deferred Maintenance and Accessibility Improvements				1037 GF/MH	AP				250.0								
			Health & Social Svcs			MH Deferred Maintenance and Accessibility Improvements				1092 Mental Health Trust Authority Authorized Receipts	AP				250.0								
			Health & Social Svcs			MH Essential Program Equipment				1037 GF/MH	AP				300.0								
			Health & Social Svcs			MH Essential Program Equipment				1092 Mental Health Trust Authority Authorized Receipts	AP				300.0								
			Health & Social Svcs			MH Home Modification and Upgrades to Retain Housing				1037 GF/MH	AP				750.0								
			Health & Social Svcs			MH Home Modification and Upgrades to Retain Housing				1092 Mental Health Trust Authority Authorized Receipts	AP				300.0								
