REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Health & Social Services			MH: Deferred Maintenance and Accessibility Improvements				1092 Mental Health Trust Authority Authorized Receipts	AP		Other Funds	22_budget/HSS/Enacted/2022proj33670.pdf	250.000000								
			Health & Social Services			MH: Home Modification and Upgrades to Retain Housing				1092 Mental Health Trust Authority Authorized Receipts	AP		Other Funds	22_budget/HSS/Enacted/2022proj33671.pdf	250.000000								
			Health & Social Services			Emergency Medical Services Match for Code Blue Project 				1003 General Fund Match	AP		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj42837.pdf	500.000000								
			Health & Social Services			Pioneer Homes Facility Improvements			Juneau Pioneer Home ADA-Compliant Courtyard	1004 General Fund Receipts	AL		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj63203.pdf	424.000000								
			Health & Social Services			Pioneer Homes Facility Improvements			Ketchikan Pioneer Home HVAC Intake Damper Assembly	1004 General Fund Receipts	AL		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj63205.pdf	76.500000								
			Health & Social Services			Pioneer Homes Facility Improvements			Palmer Alaska Veterans and Pioneer Home Safety Fencing	1004 General Fund Receipts	AL		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj63213.pdf	61.200000								
			Health & Social Services			Fairbanks Youth Facility				1167 Northern Tobacco Securitization Corporation Bonds	AP		Other Funds	22_budget/HSS/Enacted/2022proj63217.pdf	18986.720000								
			Health & Social Services			Health Information Exchange				1002 Federal Receipts	AP		Federal Funds	22_budget/HSS/Enacted/2022proj63218.pdf	3600.801000								
			Health & Social Services			Health Information Exchange				1004 General Fund Receipts	AP		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj63218.pdf	480.107000								
			Health & Social Services			Pioneer Homes Facility Improvements				1002 Federal Receipts	AP*		Federal Funds	22_budget/HSS/Enacted/2022proj63240.pdf	3250.000000								
			Health & Social Services			Pioneer Homes Facility Improvements				1004 General Fund Receipts	AP*		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj63240.pdf	561.700000								
			Health & Social Services			Pioneer Homes Facility Improvements				1243 Statutory Budget Reserve Fund	AP*		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj63240.pdf	2268.000000								
			Health & Social Services			Pioneer Homes Facility Improvements			Palmer Alaska Veterans' and Pioneers Home Roof Replacement	1002 Federal Receipts	AL		Federal Funds	22_budget/HSS/Enacted/2022proj63262.pdf	3250.000000								
			Health & Social Services			Pioneer Homes Facility Improvements			Palmer Alaska Veterans' and Pioneers Home Roof Replacement	1243 Statutory Budget Reserve Fund	AL		Unrestricted General Funds	22_budget/HSS/Enacted/2022proj63262.pdf	2268.000000								
