REPORT_SORT, DEPT_NUM, DEPT_SORT, DEPT_NAME, RDU_NUM, RDU_SORT, RDU_NAME, COMP_NUM, COMP_SORT, COMP_NAME, REPORT_LINE, LINE_TYPE, FUND_CODE, FUND_GROUP, DUPLICATED_INDICATOR, SCEN1_AMOUNT,SCEN2_AMOUNT,SCEN3_AMOUNT,SCEN4_AMOUNT,SCEN5_AMOUNT,SCEN6_AMOUNT,SCEN7_AMOUNT,SCEN8_AMOUNT,SCEN9_AMOUNT,SCEN10_AMOUNT
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1004 Gen Fund","AP",,,,"320.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Automated Performance Evaluations and Onboarding System Setup",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1004 Gen Fund","AP",,,,"1000.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Electronic Timekeeping",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1004 Gen Fund","AP",,,,"7100.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Integrated Resource Information System (IRIS) Upgrade",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1004 Gen Fund","AP",,,,"1250.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"OIT Upgrade to Cloud Servers - Phase I",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1004 Gen Fund","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1004 Gen Fund","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Retirement System Server Replacement",,,"","1029 P/E Retire","AP",,,,"76.8",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1004 Gen Fund","AP",,,,"1800.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Software for the Shared Services Initiatives",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1004 Gen Fund","AP",,,,"1000.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"General Government",,,"Uniform Ticketing System Upgrade",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1002 Fed Rcpts","AP",,,,"7500.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1004 Gen Fund","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Bulk Fuel Upgrades",,,"","1029 P/E Retire","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1002 Fed Rcpts","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1003 G/F Match","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1004 Gen Fund","AP",,,,"200.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1005 GF/Prgm","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1012 Rail Enrgy","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1018 EVOSS","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1024 Fish/Game","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1026 Hwy Capitl","AP",,,,"0.0",,,,,,,,
,,,"Development",,,"Alaska Energy Authority - Electrical Emergencies Program",,,"","1027 Int Airprt","AP",,,,"0.0",,,,,,,,
