REPORT_SORT,DEPT_NUM,DEPT_SORT,DEPT_NAME,RDU_NUM,RDU_SORT,RDU_NAME,COMP_NUM,COMP_SORT,COMP_NAME,REPORT_LINE
Personal Services,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,2113.5,0,0,0,0,0,0,0,0,0
Travel,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,17.7,0,0,0,0,0,0,0,0,0
Contractual Services,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,243.6,0,0,0,0,0,0,0,0,0
Commodities,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,70.4,0,0,0,0,0,0,0,0,0
Capital Outlay,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,3,0,0,0,0,0,0,0,0,0
Line 7600,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,0,0,0,0,0,0,0,0,0,0
"Grants, Benefits",,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,0,0,0,0,0,0,0,0,0,0
Miscellaneous,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,0,0,0,0,0,0,0,0,0,0
"1001,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,1001 Constitutional Budget Reserve Fund,Revenue,1001,UGF,""",,,,,,,,,,
"    """,554.8,0,0,0,0,0,0,0,0,0
"1002,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,1002 Federal Receipts,Revenue,1002,Fed,""",,,,,,,,,,
"    """,229,0,0,0,0,0,0,0,0,0
"1004,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,1004 General Fund Receipts,Revenue,1004,UGF,""",,,,,,,,,,
"    """,1664.4,0,0,0,0,0,0,0,0,0
Permanent Full-Time,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,19,0,0,0,0,0,0,0,0,0
Personal Services,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,8737.3,0,0,0,0,0,0,0,0,0
Travel,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,697.9,0,0,0,0,0,0,0,0,0
Contractual Services,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,1101.4,0,0,0,0,0,0,0,0,0
Commodities,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,157.1,0,0,0,0,0,0,0,0,0
Capital Outlay,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,0,0,0,0,0,0,0,0,0,0
Line 7600,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,0,0,0,0,0,0,0,0,0,0
"Grants, Benefits",,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,0,0,0,0,0,0,0,0,0,0
Miscellaneous,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,0,0,0,0,0,0,0,0,0,0
"1001,1,7,Governor,2,2,Executive Operations,6,1,Executive Office,1001 Constitutional Budget Reserve Fund,Revenue,1001,UGF,""",,,,,,,,,,
"    """,2673.4,0,0,0,0,0,0,0,0,0
"1004,1,7,Governor,2,2,Executive Operations,6,1,Executive Office,1004 General Fund Receipts,Revenue,1004,UGF,""",,,,,,,,,,
"    """,8020.3,0,0,0,0,0,0,0,0,0
Permanent Full-Time,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,62,0,0,0,0,0,0,0,0,0
Non-Permanent,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,8,0,0,0,0,0,0,0,0,0
Personal Services,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,424.3,0,0,0,0,0,0,0,0,0
Travel,,,,,,,,,,
"    "",""",,,,,,,,,,
"    """,12,0,0,0,0,0,0,0,0,0
