REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Commerce			Community Block Grants				1002 Federal Receipts	AP				6000.0								
			Commerce			Community Block Grants				1003 General Fund Match	AP				60.0								
			Commerce			National Petroleum Reserve - Alaska Impact Grant Program				Non-Permanent	AP				9100.0								
			Commerce			AMCO Enforcement Case Management and Investigations Report Writing System				1004 General Fund Receipts	AP				100.0								
			Commerce			AMCO Enforcement Case Management and Investigations Report Writing System				1005 General Fund/Program Receipts	AP				100.0								
			Commerce			Alaska Energy Authority -  Alaska Cargo and Cold Storage				1002 Federal Receipts	AP				21000.0								
			Commerce			Alaska Energy Authority - Alternative Energy and Energy Efficiency Programs				1002 Federal Receipts	AP				5000.0								
			Commerce			Alaska Energy Authority - Bulk Fuel Upgrades				1002 Federal Receipts	AP				7500.0								
			Commerce			Alaska Energy Authority - Bulk Fuel Upgrades				1169 PCE Endow	AP				5500.0								
			Commerce			Alaska Energy Authority - Rural Power Systems Upgrades				1002 Federal Receipts	AP				12500.0								
			Commerce			Alaska Energy Authority - Rural Power Systems Upgrades				1169 PCE Endow	AP				5000.0								
			Commerce			Alaska Travel Industry Association				1200 VehRntlTax	AP				5000.0								
			Commerce			Inter-Island Ferry Authority				1004 General Fund Receipts	AP				250.0								
			Corrections			Seven New Facility Body Scanners				1004 General Fund Receipts	AP				1500.0								
			Corrections			Point Mackenzie Correctional Farm Produce Processing Plant 				1004 General Fund Receipts	AP				1500.0								
			Environ Conservation			Clean Water Capitalization Grant Subsidy				1075 Clean Wtr	AP				2000.0								
			Environ Conservation			Drinking Water Capitalization Grant Subsidy				1100 ADWF	AP				5800.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects				1002 Federal Receipts	AP*				52250.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects				1108 Statutory Designated Program Receipts	AP*				500.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects				1113 AHFC Bonds	AP*				15730.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	1002 Federal Receipts	AL				20900.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	1108 Statutory Designated Program Receipts	AL				200.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	1113 AHFC Bonds	AL				9438.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	1002 Federal Receipts	AL				31350.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	1108 Statutory Designated Program Receipts	AL				300.0								
			Environ Conservation			Village Safe Water and Wastewater Infrastructure Projects			Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	1113 AHFC Bonds	AL				6292.0								
			Fish & Game			Pacific Salmon Treaty Chinook Fishery Mitigation				1002 Federal Receipts	AP				7700.0								
			Fish & Game			2018 Sockeye Salmon Disaster - Chignik Area				1002 Federal Receipts	AP				2000.0								
			Fish & Game			Endangered Species Act - Legal and Research Needs to Protect State Right to Manage				1002 Federal Receipts	AP				3000.0								
