REPORT_SORT, DEPT_NUM, DEPT_SORT, DEPT_NAME, RDU_NUM, RDU_SORT, 7 RDU_NAME, COMP_NUM, COMP_SORT, 10 COMP_NAME, 11 REPORT_LINE, 12 LINE_TYPE, FUND_CODE, 14 FUND_GROUP, 15 DUPLICATED_INDICATOR, 16 SCEN1_AMOUNT,SCEN2_AMOUNT,SCEN3_AMOUNT,SCEN4_AMOUNT,SCEN5_AMOUNT,SCEN6_AMOUNT,SCEN7_AMOUNT,SCEN8_AMOUNT,SCEN9_AMOUNT,SCEN10_AMOUNT
1,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Personal Services,Expenditure,0,,,1370.4,0,0,0,0,0,0,0,0,0
2,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Travel,Expenditure,0,,,65.6,0,0,0,0,0,0,0,0,0
3,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Contractual Services,Expenditure,0,,,313.3,0,0,0,0,0,0,0,0,0
4,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Commodities,Expenditure,0,,,8.8,0,0,0,0,0,0,0,0,0
5,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Capital Outlay,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
6,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Line 7600,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
7,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,"Grants, Benefits",Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
8,25,15,Transportation,333,1,Administration and Support,530,1,Commissioner's Office,Miscellaneous,Expenditure,0,,,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Personal Services,Expenditure,0,,,343.1,0,0,0,0,0,0,0,0,0
2,25,15,Transportation,333,1,Administration and Support,2355,2,Contracting and Appeals,Travel,Expenditure,0,,,3.1,0,0,0,0,0,0,0,0,0
